,company,location,title,city,state,level
0.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
10.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
100.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1000.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1001.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1002.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1003.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1004.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1005.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1006.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1007.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1008.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1009.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
101.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1010.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1011.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1012.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1013.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1014.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1015.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1016.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1017.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1018.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1019.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
102.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1020.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1021.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1022.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1023.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1024.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1025.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1026.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1027.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1028.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1029.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
103.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1030.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1031.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1032.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1033.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1034.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1035.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1036.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1037.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1038.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1039.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
104.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1040.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1041.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1042.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1043.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1044.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1045.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1046.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1047.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1048.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1049.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
105.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1050.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1051.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1052.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1053.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1054.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1055.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1056.0,General Motors,"Austin, TX",Data Scientist,Austin,TX,midlevel
1057.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
1058.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1059.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
106.0,CoreLogic,"Irvine, CA",Data Scientist,Irvine,CA,midlevel
1060.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1061.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1062.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1063.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1064.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1065.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1066.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1067.0,Indeed,"San Francisco, CA",Data Scientist,San Francisco,CA,midlevel
1068.0,Ariosa Diagnostics,"San Jose, CA",Data Scientist,San Jose,CA,midlevel
