,company,location,title
0,General Motors,"Austin, TX",Data Scientist
1,CoreLogic,"Irvine, CA",Data Scientist
2,Indeed,"San Francisco, CA",Data Scientist
3,Indeed,"San Francisco, CA",Data Scientist
4,Indeed,"San Francisco, CA",Data Scientist
5,Indeed,"San Francisco, CA",Data Scientist
6,Indeed,"San Francisco, CA",Data Scientist
7,Indeed,"San Francisco, CA",Data Scientist
8,Indeed,"San Francisco, CA",Data Scientist
9,Indeed,"San Francisco, CA",Data Scientist
10,Indeed,"San Francisco, CA",Data Scientist
11,Indeed,"San Francisco, CA",Data Scientist
12,Indeed,"San Francisco, CA",Data Scientist
13,Ariosa Diagnostics,"San Jose, CA",Data Scientist
14,CoreLogic,"Irvine, CA",Data Scientist
15,CoreLogic,"Irvine, CA",Data Scientist
16,CoreLogic,"Irvine, CA",Data Scientist
17,CoreLogic,"Irvine, CA",Data Scientist
18,CoreLogic,"Irvine, CA",Data Scientist
19,CoreLogic,"Irvine, CA",Data Scientist
20,CoreLogic,"Irvine, CA",Data Scientist
21,CoreLogic,"Irvine, CA",Data Scientist
22,CoreLogic,"Irvine, CA",Data Scientist
23,CoreLogic,"Irvine, CA",Data Scientist
24,CoreLogic,"Irvine, CA",Data Scientist
25,National Security Agency,"Fort George G Meade, MD",Data Scientist
26,Ariosa Diagnostics,"San Jose, CA",Data Scientist
27,Ariosa Diagnostics,"San Jose, CA",Data Scientist
28,Ariosa Diagnostics,"San Jose, CA",Data Scientist
29,Ariosa Diagnostics,"San Jose, CA",Data Scientist
30,Ariosa Diagnostics,"San Jose, CA",Data Scientist
31,Ariosa Diagnostics,"San Jose, CA",Data Scientist
32,Ariosa Diagnostics,"San Jose, CA",Data Scientist
33,Ariosa Diagnostics,"San Jose, CA",Data Scientist
34,Ariosa Diagnostics,"San Jose, CA",Data Scientist
35,Ariosa Diagnostics,"San Jose, CA",Data Scientist
36,CoreLogic,"Irvine, CA",Data Scientist
37,National Security Agency,"Fort George G Meade, MD",Data Scientist
38,Ariosa Diagnostics,"San Jose, CA",Data Scientist
39,Ariosa Diagnostics,"San Jose, CA",Data Scientist
40,Ariosa Diagnostics,"San Jose, CA",Data Scientist
41,Ariosa Diagnostics,"San Jose, CA",Data Scientist
42,Ariosa Diagnostics,"San Jose, CA",Data Scientist
43,Ariosa Diagnostics,"San Jose, CA",Data Scientist
44,Ariosa Diagnostics,"San Jose, CA",Data Scientist
45,Ariosa Diagnostics,"San Jose, CA",Data Scientist
46,Ariosa Diagnostics,"San Jose, CA",Data Scientist
47,Ariosa Diagnostics,"San Jose, CA",Data Scientist
48,Ariosa Diagnostics,"San Jose, CA",Data Scientist
49,CoreLogic,"Irvine, CA",Data Scientist
50,National Security Agency,"Fort George G Meade, MD",Data Scientist
51,National Security Agency,"Fort George G Meade, MD",Data Scientist
52,National Security Agency,"Fort George G Meade, MD",Data Scientist
53,National Security Agency,"Fort George G Meade, MD",Data Scientist
54,National Security Agency,"Fort George G Meade, MD",Data Scientist
55,National Security Agency,"Fort George G Meade, MD",Data Scientist
56,National Security Agency,"Fort George G Meade, MD",Data Scientist
57,National Security Agency,"Fort George G Meade, MD",Data Scientist
58,National Security Agency,"Fort George G Meade, MD",Data Scientist
59,National Security Agency,"Fort George G Meade, MD",Data Scientist
60,CoreLogic,"Irvine, CA",Data Scientist
61,National Security Agency,"Fort George G Meade, MD",Data Scientist
62,Ariosa Diagnostics,"San Jose, CA",Data Scientist
63,Ariosa Diagnostics,"San Jose, CA",Data Scientist
64,Ariosa Diagnostics,"San Jose, CA",Data Scientist
65,Ariosa Diagnostics,"San Jose, CA",Data Scientist
66,Ariosa Diagnostics,"San Jose, CA",Data Scientist
67,Ariosa Diagnostics,"San Jose, CA",Data Scientist
68,Ariosa Diagnostics,"San Jose, CA",Data Scientist
69,Ariosa Diagnostics,"San Jose, CA",Data Scientist
70,Ariosa Diagnostics,"San Jose, CA",Data Scientist
71,Ariosa Diagnostics,"San Jose, CA",Data Scientist
72,Indeed,"San Francisco, CA",Data Scientist
73,CoreLogic,"Irvine, CA",Data Scientist
74,Ariosa Diagnostics,"San Jose, CA",Data Scientist
75,Ariosa Diagnostics,"San Jose, CA",Data Scientist
76,Ariosa Diagnostics,"San Jose, CA",Data Scientist
77,Ariosa Diagnostics,"San Jose, CA",Data Scientist
78,Ariosa Diagnostics,"San Jose, CA",Data Scientist
79,Ariosa Diagnostics,"San Jose, CA",Data Scientist
80,Ariosa Diagnostics,"San Jose, CA",Data Scientist
81,Ariosa Diagnostics,"San Jose, CA",Data Scientist
82,Ariosa Diagnostics,"San Jose, CA",Data Scientist
83,Ariosa Diagnostics,"San Jose, CA",Data Scientist
84,Indeed,"San Francisco, CA",Data Scientist
85,CoreLogic,"Irvine, CA",Data Scientist
86,Ariosa Diagnostics,"San Jose, CA",Data Scientist
87,Ariosa Diagnostics,"San Jose, CA",Data Scientist
88,Ariosa Diagnostics,"San Jose, CA",Data Scientist
89,Ariosa Diagnostics,"San Jose, CA",Data Scientist
90,Ariosa Diagnostics,"San Jose, CA",Data Scientist
91,Ariosa Diagnostics,"San Jose, CA",Data Scientist
92,Ariosa Diagnostics,"San Jose, CA",Data Scientist
93,Ariosa Diagnostics,"San Jose, CA",Data Scientist
94,Ariosa Diagnostics,"San Jose, CA",Data Scientist
95,Ariosa Diagnostics,"San Jose, CA",Data Scientist
96,Indeed,"San Francisco, CA",Data Scientist
97,Ariosa Diagnostics,"San Jose, CA",Data Scientist
98,CoreLogic,"Irvine, CA",Data Scientist
99,CoreLogic,"Irvine, CA",Data Scientist
